Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00     14.13     0.00        1     0.00     0.00  tinyxml2::MemPoolT<36>::~MemPoolT()
  0.00     14.13     0.00        1     0.00     0.00  tinyxml2::MemPoolT<44>::SetTracked()
  0.00     14.13     0.00        1     0.00     0.00  tinyxml2::MemPoolT<44>::Free(void*)
  0.00     14.13     0.00        1     0.00     0.00  tinyxml2::MemPoolT<44>::Alloc()
  0.00     14.13     0.00        1     0.00     0.00  tinyxml2::MemPoolT<44>::MemPoolT()
  0.00     14.13     0.00        1     0.00     0.00  tinyxml2::MemPoolT<44>::~MemPoolT()
  0.00     14.13     0.00        1     0.00     0.00  tinyxml2::MemPoolT<48>::MemPoolT()
  0.00     14.13     0.00        1     0.00     0.00  tinyxml2::MemPoolT<48>::~MemPoolT()
  0.00     14.13     0.00        1     0.00     0.00  tinyxml2::MemPoolT<52>::MemPoolT()
  0.00     14.13     0.00        1     0.00     0.00  tinyxml2::MemPoolT<52>::~MemPoolT()
  0.00     14.13     0.00        1     0.00    25.53  tinyxml2::XMLElement::Accept(tinyxml2::XMLVisitor*) const
  0.00     14.13     0.00        1     0.00     0.00  tinyxml2::XMLPrinter::CStr() const
  0.00     14.13     0.00        1     0.00     0.00  tinyxml2::XMLPrinter::CStrSize() const
  0.00     14.13     0.00        1     0.00     0.00  tinyxml2::XMLDocument::ProcessEntities() const
  0.00     14.13     0.00        1     0.00    25.53  tinyxml2::XMLDocument::Print(tinyxml2::XMLPrinter*) const
  0.00     14.13     0.00        1     0.00    25.53  tinyxml2::XMLDocument::Accept(tinyxml2::XMLVisitor*) const
  0.00     14.13     0.00        1     0.00     0.00  tinyxml2::XMLDocument::HasBOM() const
  0.00     14.13     0.00        1     0.00     0.00  tinyxml2::XMLDeclaration::Accept(tinyxml2::XMLVisitor*) const
  0.00     14.13     0.00        1     0.00     0.00  tinyxml2::DynArray<tinyxml2::MemPoolT<48>::Block*, 10>::Size() const
  0.00     14.13     0.00        1     0.00     0.00  tinyxml2::DynArray<char, 20>::Mem() const
  0.00     14.13     0.00        1     0.00     0.00  tinyxml2::DynArray<char, 20>::Size() const
